عطفی	عطف
مفصلی	مفصل
زیادی	زیاد
بهتری	به
بیشتر	بیش
خاصی	خاص
بالایی	بالا
کم‌عمق‌تر	کم‌عمق
اصلی‌ترین	اصلی
پرآوازهٔ	پرآوازه
درستی	درست
کوچک‌تر	کوچک
بهترین	به
روشن‌تر	روشن
واضح‌ترین	واضح
خاطرآورترین	خاطرآور
بیچاره‌ای	بیچاره
زیبایی	زیبا
شیفتهٔ	شیفته
متعفنی	متعفن
فقرزدهٔ	فقرزده
بالاتر	بالا
واسطهٔ	واسطه
خیابانی	خیابان
متبرکی	متبرک
بیشتر	بیش
پسندیدهٔ	پسندیده
بهتر	به
دیگری	دیگر
بهترین	به
بالای	بالا
خارجهٔ	خارجه
مختلفی	مختلف
بیشتر	بیش
برجستهٔ	برجسته
دارای	دارا
فرتوتی	فرتوت
نفیس‌ترین	نفیس
ساده‌ترین	ساده
جدیدی	جدید
مصفای	مصفا
زیادی	زیاد
بیشتری	بیش
بهترین	به
بهتر	به
دیگری	دیگر
ضعیفی	ضعیف
دیگری	دیگر
مطلقهٔ	مطلقه
عادلانهٔ	عادلانه
خوبی	خوب
جذابی	جذاب
بیشتر	بیش
مختلفی	مختلف
بیشتری	بیش
بهتر	به
بیشتر	بیش
هولناکی	هولناک
پژوهشی	پژوهش
گسترده‌ای	گسترده
متعددی	متعدد
بیشتر	بیش
یاحقی	یاحق
پایین‌تر	پایین
زیباترین	زیبا
آهنگین‌ترین	آهنگین
بیشتر	بیش
بهترین	به
خصوصی	خصوص
کوتاهی	کوتاه
بیشتری	بیش
مستحکم‌تر	مستحکم
عالی‌تری	عالی
واپس‌زدهٔ	واپس‌زده
زنانه‌ای	زنانه
والای	والا
مورخهٔ	مورخه
زیادی	زیاد
بیشتر	بیش
فعالی	فعال
بدترین	بد
متواتری	متواتر
بیشتر	بیش
شاعرانهٔ	شاعرانه
دقیقی	دقیق
جدیدی	جدید
دارای	دارا
تیزی	تیز
زیادی	زیاد
کوچک‌ترین	کوچک
تخم‌گذاری	تخم‌گذار
تخم‌گذاری	تخم‌گذار
غبارگرفتهٔ	غبارگرفتهه
کوچک‌تر	کوچک
طیبهٔ	طیبه
پرشورتر	پرشور
بانشاط‌تر	بانشاط
مطلوبی	مطلوب
جانبی	جانب
ابلاغی	ابلاغ
آمادهٔ	آماده
غیابی	غیاب
گوناگونی	گوناگون
زیادی	زیاد
دیگری	دیگر
بیشتر	بیش
لعنت‌کنندهٔ	لعنت‌کننده
چرندترین	چرند
پرتلاطم‌ترین	پرتلاطم
زیبارویی	زیباروی
شکسته‌ای	شکسته
زیبایی	زیبا
زردرنگی	زردرنگ
دستگیرشدهٔ	دستگیرشده
زیادی	زیاد
زیادی	زیاد
کمتر	کم
زیادی	زیاد
بیشتر	بیش
دیگری	دیگر
بزرگی	بزرگ
نسنجیده‌ای	نسنجیده
محکمی	محکم
جدیدترین	جدید
بیشتر	بیش
بیشتری	بیش
معتبری	معتبر
مرسوم‌ترین	مرسوم
بیشتر	بیش
بالاترین	بالا
ناشیانهٔ	ناشیانه
علمیهٔ	علمیه
وقیحانه‌ای	وقیحانه
بارداری	باردار
زودتر	زود
والای	والا
بالای	بالا
کمی	کم
سنگینی	سنگین
رساتر	رسا
بهترین	به
کمتری	کم
کوچکی	کوچک
زیبای	زیبا
زیادی	زیاد
متحدهٔ	متحده
کمتر	کم
کمتری	کم
ضعیف‌ترین	ضعیف
بهتر	به
بیشترین	بیش
ارزشمندی	ارزشمند
دیگری	دیگر
گزینش‌شدهٔ	گزینش‌شده
بیشتر	بیش
بیشتر	بیش
مشهورترین	مشهور
دارای	دارا
شیعهٔ	شیعه
دیگری	دیگر
بیشتر	بیش
فروخوردهٔ	فروخورده
مهمی	مهم
دوازده‌گانه‌ای	دوازده‌گانه
پیشرفتهٔ	پیشرفته
طولانی‌ای	طولانی
ایجادی	ایجاد
بیشتر	بیش
دیگری	دیگر
بهترین	به
ملایمی	ملایم
عجیبی	عجیب
راحت‌تر	راحت
گران‌تر	گران
بیشتر	بیش
بهترین	به
ضدانقلابی	ضدانقلاب
اشتری	اشتر
بهتر	به
دارای	دارا
خمسهٔ	خمسه
دارای	دارا
بیشتر	بیش
عظیمی	عظیم
ترسوها	ترسو
کمتر	کم
بزرگ‌تر	بزرگ
خارجهٔ	خارجه
صادرکنندهٔ	صادرکننده
معینی	معین
سخت‌ترین	سخت
بیشتر	بیش
بیشتر	بیش
بیشتر	بیش
کمتر	کم
دیگری	دیگر
کوچکی	کوچک
بهترین	به
بیشتر	بیش
قدیمی‌ترین	قدیمی
بیشتر	بیش
بیشتر	بیش
آیندهٔ	آینده
مؤثرتر	مؤثر
مطمئن‌تر	مطمئن
بهتر	به
روشنی	روشن
قاطعی	قاطع
روشن‌تر	روشن
بلندترین	بلند
بهتر	به
نقلیهٔ	نقلیه
دیگری	دیگر
دیگری	دیگر
امن‌تر	امن
غم‌زدهٔ	غم‌زده
بزرگی	بزرگ
بزرگی	بزرگ
چندانی	چندان
بازنشستهٔ	بازنشسته
زیبای	زیبا
خوبی	خوب
مشخصی	مشخص
خردسالی	خردسال
کمتر	کم
دیگری	دیگر
جامعی	جامع
کمترین	کم
بیشترین	بیش
ساختهٔ	ساخته
خوش‌آوازی	خوش‌آواز
زیبای	زیبا
کوتاه‌ترین	کوتاه
سریع‌ترین	سریع
ویژهٔ	ویژه
ممنوعهٔ	ممنوعه
دوجانبهٔ	دوجانبه
آزادهٔ	آزاده
مؤمنی	مؤمن
مهیبی	مهیب
بلندتر	بلند
پیشرفته‌تری	پیشرفته
خارجهٔ	خارجه
پژوهشگری	پژوهشگر
جدیدی	جدید
بهترین	به
بهتر	به
زیادی	زیاد
پویای	پویا
بهترین	به
عمده‌ای	عمده
روزمرهٔ	روزمره
اشتباهی	اشتباه
بهتر	به
ضعیف‌تر	ضعیف
بزرگی	بزرگ
آیندهٔ	آینده
ویژه‌ای	ویژه
مخصوصی	مخصوص
خوبی	خوب
کمی	کم
آمادهٔ	آماده
آمادهٔ	آماده
خاصی	خاص
محدودی	محدود
زیادی	زیاد
بسیاری	بسیار
دارای	دارا
بهتر	به
مطلقهٔ	مطلقه
تری	تر
حکیمانهٔ	حکیمانه
معینی	معین
حساس‌تر	حساس
زیادی	زیاد
گوناگونی	گوناگون
چندانی	چندان
مختلفی	مختلف
زیادی	زیاد
مستقیم‌تری	مستقیم
کشته‌شده‌اتان	کشته‌شده
بیشتر	بیش
کمتر	کم
بیشتر	بیش
بهتر	به
جزای	جزا
نیک‌مرامی	نیک‌مرام
گندیدهٔ	گندیده
دارای	دارا
تلخ‌ترین	تلخ
بهترین	به
بهترین	به
پیش‌تر	پیش
دیگری	دیگر
فراوانی	فراوان
مدیدی	مدید
بیشتر	بیش
بیشتر	بیش
پرکاری	پرکار
خوبی	خوب
پدرانهٔ	پدرانه
ضعیف‌ترین	ضعیف
شگفت‌انگیزی	شگفت‌انگیز
اصلی‌ترین	اصلی
کابینت‌سازی	کابینت‌ساز
دقیقی	دقیق
کثیری	کثیر
عمده‌ترین	عمده
زودتر	زود
سریع‌تر	سریع
کوچکی	کوچک
بالای	بالا
فربه‌ای	فربه
بهتر	به
نامناسبی	نامناسب
دردناکی	دردناک
خودبینی	خودبین
زیبایی	زیبا
متضادی	متضاد
بیشتری	بیش
کمتر	کم
بیشتر	بیش
نزدیک‌تر	نزدیک
پایین‌تر	پایین
پربیننده‌ترین	پربیننده
ویژهٔ	ویژه
کمتر	کم
خوبی	خوب
مشهوری	مشهور
جدیدی	جدید
دارای	دارا
بدی	بد
زیادی	زیاد
بیشتر	بیش
بهتر	به
بهتر	به
بهتر	به
بیشتر	بیش
خوش‌برخوردی	خوش‌برخورد
بالایی	بالا
کوتاهی	کوتاه
عالیهٔ	عالیه
خاصی	خاص
بالای	بالا
سیاهی	سیاه
نزدیک‌ترین	نزدیک
خشن‌تر	خشن
قطوری	قطور
شیفتهٔ	شیفته
زیبایی	زیبا
مخصوصی	مخصوص
مؤدبانه‌ای	مؤدبانه
معدودی	معدود
ابرقدرتی	ابرقدرت
هشداردهنده‌ای	هشداردهنده
عمیق‌تر	عمیق
بیشتر	بیش
بسیاری	بسیار
جدیدترین	جدید
زیادی	زیاد
بزرگ‌تر	بزرگ
کمتر	کم
بیشتری	بیش
عمیقی	عمیق
دارای	دارا
گسترده‌ترین	گسترده
خوبی	خوب
عدیده‌ای	عدیده
خارجهٔ	خارجه
بیشتر	بیش
ناخوشایندی	ناخوشایند
بدتر	بد
کمتر	کم
بزرگی	بزرگ
دارای	دارا
کهن‌ترین	کهن
طرف‌تر	طرف
فروزانی	فروزان
بیشتر	بیش
بیشتر	بیش
بهترین	به
سرسختانه‌ای	سرسختانه
درستی	درست
متجاوزی	متجاوز
بهتر	به
کمی	کم
جالبی	جالب
قدرتمندتر	قدرتمند
کوچک‌ترین	کوچک
فراسوی	فراسو
سبزتر	سبز
بیشتر	بیش
کوتاهی	کوتاه
درستی	درست
کمی	کم
زنندهٔ	زننده
زشتی	زشت
نیکی	نیک
بیشتری	بیش
ثالثی	ثالث
عدیده‌ای	عدیده
جدیدترین	جدید
زیادی	زیاد
سریع‌تر	سریع
بیشتری	بیش
واکس‌زنی	واکس‌زن
جدیدی	جدید
دیگری	دیگر
جدیدی	جدید
سنگینی	سنگین
زیادی	زیاد
بیشتری	بیش
گسترده‌ای	گسترده
فراوانی	فراوان
کلانی	کلان
شدیدتری	شدید
مهمی	مهم
دیگری	دیگر
اولیهٔ	اولیه
دارای	دارا
زیادی	زیاد
راحت‌تر	راحت
آزادانه‌تر	آزادانه
مناسبی	مناسب
سخت‌ترین	سخت
زودتر	زود
ظالمانهٔ	ظالمانه
ظالمانه‌ای	ظالمانه
زیبایی	زیبا
گران‌قیمتی	گران‌قیمت
کوتاهی	کوتاه
پرآبی	پرآب
زیادی	زیاد
زیبای	زیبا
کوتاه‌تر	کوتاه
تلخی	تلخ
جدیدی	جدید
ویژه‌ای	ویژه
جوانی	جوان
بهترین	به
کمتر	کم
سالهٔ	ساله
تازه‌ای	تازه
گستردهٔ	گسترده
مؤثری	مؤثر
جانبی	جانب
دیوانه‌ای	دیوانه
آهسته‌تر	آهسته
پیشرفته‌ای	پیشرفته
زیادی	زیاد
کهنسال‌ترین	کهنسال
زیبای	زیبا
خوش‌سیمایی	خوش‌سیما
دیرینهٔ	دیرینه
گستردهٔ	گسترده
سالهٔ	ساله
بیشترین	بیش
ماههٔ	ماه
دارای	دارا
بهتر	به
والای	والا
بیشتر	بیش
بیشتر	بیش
بالاتر	بالا
صریح‌ترین	صریح
بهتر	به
دیگری	دیگر
بیشتر	بیش
مختلفی	مختلف
اولیهٔ	اولیه
تولیدکنندهٔ	تولیدکننده
ملحدی	ملحد
کمال‌یافتهٔ	کمال‌یافته
تحصیل‌کردهٔ	تحصیل‌کرده
اصولگرای	اصولگرا
محوکنندهٔ	محوکننده
رضایت‌بخشی	رضایت‌بخش
شرقی‌ترین	شرقی
بهتر	به
بالاتر	بالا
گذشتهٔ	گذشته
لازمی	لازم
دیگری	دیگر
ساده‌ای	ساده
چهارگانهٔ	چهارگانه
دوجانبهٔ	دوجانبه
صفتی	صفت
بزرگ‌ترین	بزرگ
بهتر	به
مرکزگرای	مرکزگرا
پنج‌گانهٔ	پنج‌گانه
برجستهٔ	برجسته
زیباترین	زیبا
بیشتر	بیش
مقدس‌ترین	مقدس
نخبهٔ	نخبه
بالایی	بالا
راحت‌تر	راحت
زیباترین	زیبا
مهم‌ترین	مهم
زودتر	زود
بیشتر	بیش
کمتر	کم
بزرگی	بزرگ
جدیدی	جدید
وخیم‌تر	وخیم
جدیدی	جدید
کمتر	کم
کمتر	کم
آمادهٔ	آماده
جوانی	جوان
متمولی	متمول
سالهٔ	ساله
شقاوتمند	شقاوت
ویژهٔ	ویژه
خارجهٔ	خارجه
بیشترین	بیش
بیشتر	بیش
خاصی	خاص
کمتر	کم
ویژهٔ	ویژه
کوچکی	کوچک
زودتر	زود
پاکباخته‌ای	پاکباخته
زودتر	زود
دیگری	دیگر
زیباترین	زیبا
شیرین‌ترین	شیرین
زیادی	زیاد
خارجهٔ	خارجه
شناخته‌شدهٔ	شناخته‌شده
مشروعهٔ	مشروعه
زیادی	زیاد
زیبایی	زیبا
اولیهٔ	اولیه
کوچکی	کوچک
اخیری	اخیر
وسیع‌تر	وسیع
دقیق‌تر	دقیق
بیشتر	بیش
سختی	سخت
بزرگی	بزرگ
زیادی	زیاد
بی‌سابقه‌ای	بی‌سابقه
بهتر	به
بهتر	به
راحت‌تر	راحت
خوبی	خوب
بهترین	به
نشان‌دهندهٔ	نشان‌دهنده
خوبی	خوب
کاملی	کامل
سالهٔ	ساله
مختلفی	مختلف
مثبتی	مثبت
بسیاری	بسیار
آسان‌تر	آسان
جدیدی	جدید
طاقت‌فرسایی	طاقت‌فرسا
بهتر	به
زیادی	زیاد
گوش‌آشنای	گوش‌آشنا
باارزشی	باارزش
مهم‌ترین	مهم
بزرگ‌تر	بزرگ
ناچیزی	ناچیز
خاصی	خاص
خاصی	خاص
بیشتر	بیش
مختلفی	مختلف
پیشرفتهٔ	پیشرفته
بیشتر	بیش
گوناگونی	گوناگون
دقیق‌تری	دقیق
اسلامی‌تر	اسلامی
محکمی	محکم
غول‌پیکری	غول‌پیکر
بهتر	به
شدیدی	شدید
بزرگ‌ترین	بزرگ
بالای	بالا
سنگینی	سنگین
بیشترین	بیش
خاصی	خاص
کوچکی	کوچک
بعدی	بعد
بیشتر	بیش
بیشتر	بیش
اندکی	اندک
رفتهٔ	رفته
بی‌مورد	مورد
دقیق‌تر	دقیق
بیشتری	بیش
سیاهکارانهٔ	سیاهکارانه
عجیبی	عجیب
نیست	#هست
مدیره‌ای	مدیره
مدیره‌ای	مدیره
آمادهٔ	آماده
تحول‌خواهی	تحول‌خواه
متألهانهٔ	متألهانه
کمتر	کم
کمتر	کم
بیشتر	بیش
اصلاح‌شدهٔ	اصلاح‌شده
عظیم‌الجثهٔ	عظیم‌الجثه
خطرناکی	خطرناک
پارهٔ	پاره
محرمانهٔ	محرمانه
مهمی	مهم
بزرگ‌ترین	بزرگ
آبی‌اش	آب
زودتر	زود
نرمی	نرم
بهترین	به
صغیری	صغیر
تنهاتر	تنها
دیگری	دیگر
کمترین	کم
حامله‌ای	حامله
عظیمی	عظیم
مجردی	مجرد
متعددی	متعدد
متواترترین	متواتر
قوی‌ترین	قوی
مناسبی	مناسب
اولیهٔ	اولیه
بهترین	به
خاصی	خاص
بهترین	به
مهم‌ترین	مهم
بهترین	به
سالانهٔ	سالانه
پرآوازهٔ	پرآوازه
خاصی	خاص
شایستهٔ	شایسته
دیگری	دیگر
کمتر	کم
دیگری	دیگر
بالاتری	بالاتر
پیش‌تر	پیش
ناشناخته‌ای	ناشناخته
بزرگی	بزرگ
آرام‌تر	آرام
مبارکهٔ	مبارکه
بیشتر	بیش
دارای	دارا
ناگواری	ناگوار
صلحجویانه‌ای	صلحجویانه
اسفباری	اسفبار
زیادی	زیاد
کمتر	کم
آراسته‌ای	آراسته
صلیبی‌ای	صلیبی
بنیادی‌ترین	بنیادی
بیشتری	بیش
کاوش‌نشدهٔ	کاوش‌نشده
وسیع‌تری	وسیع
متعددی	متعدد
بیشتر	بیش
خاضع‌تر	خاضع
خاشع‌تر	خاشع
خوشی	خوش
نکرده	کرد#کن
مفلوکی	مفلوک
قلیلی	قلیل
جدیدترین	جدید
کمتر	کم
تمیزی	تمیز
بالاتر	بالا
فراوانی	فراوان
بالاتر	بالا
سخت‌تر	سخت
پیرتر	پیر
زیادی	زیاد
بیشتری	بیش
شنوایی	شنوا
کمی	کم
نزدیکی	نزدیک
بزرگ‌ترین	بزرگ
سالهٔ	ساله
روشنی	روشن
شفاف‌تر	شفاف
جدیدی	جدید
زیبای	زیبا
کمتر	کم
گران‌قیمت‌تر	گران‌قیمت
خوش‌اندام‌تر	خوش‌اندام
فاسدی	فاسد
بیشتر	بیش
متوسطی	متوسط
بیشتر	بیش
گیراتر	گیرا
انجام‌نشدهٔ	انجام‌نشده
گذشتهٔ	گذشته
جوانی	جوان
به‌سزایی	به‌سزا
ناخوشایندی	ناخوشایند
بی‌سوادی	بی‌سواد
درشتی	درشت
خارجهٔ	خارجه
موجزترین	موجز
بزرگ‌ترین	بزرگ
مفرحی	مفرح
وحشتناک‌تری	وحشتناک
بهترین	به
کمتر	کم
بزرگ‌ترین	بزرگ
متعاهدین	متعاهد
گویای	گویا
پری	پر
بزرگ‌ترین	بزرگ
شیرین‌ترین	شیرین
مختلفی	مختلف
خوبی	خوب
ذکرشدهٔ	ذکرشده
موفقی	موفق
خوبی	خوب
بدترین	بد
خاطره‌انگیزترین	خاطره‌انگیز
بزرگ‌ترین	بزرگ
بیگانهٔ	بیگانه
مستقیمی	مستقیم
دیگری	دیگر
بسیاری	بسیار
بیشتر	بیش
نیکوتر	نیکو
بیشتر	بیش
اندکی	اندک
دارای	دارا
بالای	بالا
دارای	دارا
هشداردهندهٔ	هشداردهنده
والای	والا
دیگری	دیگر
خطرناکی	خطرناک
معصیت‌کاری	معصیت‌کار
آهستهٔ	آهسته
دیگری	دیگر
دیگری	دیگر
معناداری	معنادار
سالهٔ	ساله
نشان‌دهندهٔ	نشان‌دهنده
فوق‌العاده‌ای	فوق‌العاده
محکمی	محکم
دارای	دارا
وسیع‌تر	وسیع
شگفتی	شگفت
کهنهٔ	کهنه
دیگری	دیگر
بدترین	بد
بیشتر	بیش
بالاترین	بالا
سزاوارترین	سزاوار
ثابت‌قدم‌تر	ثابت‌قدم
بلندترین	بلند
مختلفی	مختلف
دلچسبی	دلچسب
مختلفی	مختلف
پای	پا
ویژه‌ای	ویژه
دیگری	دیگر
دوستانهٔ	دوستانه
بلندی	بلند
عجیبی	عجیب
تکثیرشدهٔ	تکثیرشده
برجستهٔ	برجسته
والای	والا
عجیبی	عجیب
بهتر	به
شاداب‌تر	شاداب
زودتر	زود
دیرتر	دیر
بیشتر	بیش
بیشتر	بیش
زیادی	زیاد
بیشتر	بیش
بهترین	به
پلیسی	پلیس
بیشتر	بیش
بیشتر	بیش
متعددی	متعدد
دارای	دارا
نوینی	نوین
عمده‌ای	عمده
زیادی	زیاد
دارای	دارا
خاصی	خاص
آرام‌تر	آرام
بالای	بالا
محافظی	محافظ
بزرگ‌ترین	بزرگ
بسیاری	بسیار
دیگری	دیگر
بهتر	به
دیگری	دیگر
بیشتر	بیش
زیادی	زیاد
آخرین	آخر
بنیادگرانهٔ	بنیادگرانه
بیشتر	بیش
زیادی	زیاد
جدیدی	جدید
نشیبی	نشیب
مسلحانهٔ	مسلحانه
متعددی	متعدد
بزرگ‌ترین	بزرگ
عالی‌ترین	عالی
نشیبی	نشیب
مسلحانهٔ	مسلحانه
متعددی	متعدد
بزرگی	بزرگ
دارای	دارا
دیگری	دیگر
بیشتر	بیش
بیشتر	بیش
غریبی	غریب
بزرگی	بزرگ
تیره‌ترین	تیره
ناشکیبای	ناشکیبا
تندترین	تند
بهتر	به
کم‌بادی	کم‌باد
گرسنه‌ای	گرسنه
باشکوه‌ترین	باشکوه
زیادی	زیاد
عمده‌ای	عمده
خوشبینانه‌ترین	خوشبینانه
معقولی	معقول
پایین‌تر	پایین
وحشتناکی	وحشتناک
وحشت‌انگیزی	وحشت‌انگیز
فربه‌تری	فربه
زیادی	زیاد
اولیهٔ	اولیه
خوبی	خوب
بیشتری	بیش
مدعی‌تر	مدعی
سخت‌تر	سخت
زیادی	زیاد
برترین	برتر
کوچک‌ترین	کوچک
تازهٔ	تازه
سخت‌تر	سخت
مقاوم‌تر	مقاوم
بزرگی	بزرگ
زیادی	زیاد
زیادی	زیاد
زیبایی	زیبا
درازتر	دراز
زیادی	زیاد
زیادی	زیاد
چیده‌شدهٔ	چیده‌شده
دارای	دارا
ناشکیبای	ناشکیبا
کم‌بادی	کم‌باد
گرسنه‌ای	گرسنه
مشخص‌کنندهٔ	مشخص‌کننده
زیادی	زیاد
تازهٔ	تازه
خونین‌شدهٔ	خونین‌شده
خاصی	خاص
دیگری	دیگر
خطرناک‌ترین	خطرناک
کمتر	کم
بزرگ‌ترین	بزرگ
ارزنده‌ترین	ارزنده
بهتر	به
خوشحال‌تر	خوشحال
بیشتر	بیش
خاصی	خاص
دارای	دارا
توجیه‌کنندهٔ	توجیه‌کننده
امپریالیستی‌ای	امپریالیستی
درستی	درست
گوناگونی	گوناگون
بیشتر	بیش
بیشتر	بیش
سری‌ترین	سری
آسان‌ترین	آسان
بهتر	به
زیادی	زیاد
دشواری	دشوار
تامی	تام
زیادی	زیاد
شایستهٔ	شایسته
محدودتر	محدود
بیشتر	بیش
ایده‌آل‌ترین	ایده‌آل
بینوازادهٔ	بینوازاده
تازه‌ای	تازه
شنیده‌شدهٔ	شنیده‌شده
دارای	دارا
قسی‌القلبی	قسی‌القلب
آمادهٔ	آماده
بی‌شماری	بی‌شمار
بسیاری	بسیار
طعمهٔ	طعمه
کمتری	کم
زیادی	زیاد
بیشتر	بیش
زودتر	زود
تنگاتنگی	تنگاتنگ
دارای	دارا
خوبی	خوب
وسیعی	وسیع
کمتری	کم
کوچکی	کوچک
عالی‌ترین	عالی
بیشتر	بیش
متفاوتی	متفاوت
خودخواه‌تر	خودخواه
جدیدی	جدید
مجللی	مجلل
متفاوتی	متفاوت
جدیدی	جدید
شاه‌آبادی	شاه‌آباد
عزیزترین	عزیز
زیادی	زیاد
فشردهٔ	فشرده
بزرگی	بزرگ
جدیدی	جدید
زودتر	زود
پایمال‌شدهٔ	پایمال‌شده
تازه‌ای	تازه
زایای	زایا
بزرگ‌ترین	بزرگ
جمودی	جمود
بیشتر	بیش
بهترین	به
بزرگی	بزرگ
شنوایی	شنوا
باتجربه‌تر	باتجربه
توانمندتر	توانمند
متخصص‌تر	متخصص
بزرگ‌ترین	بزرگ
ویژهٔ	ویژه
تلخی	تلخ
دارای	دارا
خودکارآمدی	خودکارآمد
مهمی	مهم
رفتهٔ	رفته
جداگانه‌ای	جداگانه
پاره‌ای	پاره
دارای	دارا
ویژه‌ای	ویژه
جدیدی	جدید
مداومی	مداوم
مهم‌تر	مهم
بیشتری	بیش
مهم‌تر	مهم
دیگری	دیگر
وسیعی	وسیع
مختلفی	مختلف
قلمی	قلم
روزانهٔ	روزانه
کمتر	کم
دیگری	دیگر
سبک‌تر	سبک
مشهورترین	مشهور
جدیدی	جدید
سریع‌تر	سریع
زیبای	زیبا
خاصی	خاص
پیوستهٔ	پیوسته
نفرهٔ	نفره
بلندتر	بلند
برافراشته‌تر	برافراشته
خاصی	خاص
کوچکتر	کوچک
سالانهٔ	سالانه
گستردهٔ	گسترده
دقیقی	دقیق
اولیهٔ	اولیه
دیگری	دیگر
تجزیه‌شدهٔ	تجزیه‌شده
عمدهٔ	عمده
مهم‌ترین	مهم
قوی‌تر	قوی
دوگانهٔ	دوگانه
زیادی	زیاد
قطوری	قطور
نزدیک‌تر	نزدیک
زیادی	زیاد
اعلای	اعلا
بیشتر	بیش
بیشتر	بیش
زیادی	زیاد
دیگری	دیگر
بهترین	به
صادقانهٔ	صادقانه
ساده‌ای	ساده
برجستهٔ	برجسته
عالی‌رتبهٔ	عالی‌رتبه
جدی‌تر	جدی
خوبی	خوب
بزرگی	بزرگ
بیشتر	بیش
شگفت‌آوری	شگفت‌آور
ظریفی	ظریف
حرام‌گوشتی	حرام‌گوشت
آمادهٔ	آماده
بیشتر	بیش
بعدی	بعد
دیگری	دیگر
جدیدی	جدید
کمتر	کم
دارای	دارا
دیگری	دیگر
عمدهٔ	عمده
عمدهٔ	عمده
خلاقی	خلاق
اندکی	اندک
منتظری	منتظر
بیشتری	بیش
دربرگیرندهٔ	دربرگیرنده
ساده‌ترین	ساده
خردها	خرد
بهترین	به
دراماتیک‌تر	دراماتیک
بیشتر	بیش
عجیبی	عجیب
عجیبی	عجیب
عجیبی	عجیب
بهتر	به
شگرف‌ترین	شگرف
دلربای	دلربا
باشرفی	باشرف
مناسبی	مناسب
کمتری	کم
اسلامی	اسلام
جهانی	جهان
قانونی	قانون
کمی	کم
بالای	بالا
زودتر	زود
اندکی	اندک
معینی	معین
فوق‌العاده‌ای	فوق‌العاده
آزادتر	آزاد
فجیعی	فجیع
بهتر	به
سنگینی	سنگین
قوی‌ترین	قوی
بهترین	به
کمترین	کم
بهتر	به
سریع‌تر	سریع
ساله‌ای	ساله
بیشتر	بیش
عظیمی	عظیم
بهتر	به
خوبی	خوب
تندی	تند
بهترین	به
قوی‌ترین	قوی
آیندهٔ	آینده
کمتر	کم
بیشتری	بیش
ورزیدهٔ	ورزیده
توانایی	توانا
سربی	سرب
درگونهٔ	درگونه
سادهٔ	ساده
بهتر	به
عاقلانه‌تر	عاقلانه
تربیت‌شدهٔ	تربیت‌شده
دیگری	دیگر
کمتر	کم
بی‌مورد	مورد
بعدتر	بعد
ضعیف‌ترین	ضعیف
دیگری	دیگر
کهن‌ترین	کهن
گران‌سنگ‌ترین	گران‌سنگ
مهم‌ترین	مهم
اصلی‌ترین	اصلی
دقیقی	دقیق
اسقاطی	اسقاط
خصمانه‌ترین	خصمانه
خوبی	خوب
زیادی	زیاد
سزاوارتر	سزاوار
گمراهی	گمراه
باقی‌ماندهٔ	باقی‌مانده
بزرگی	بزرگ
کوچکی	کوچک
مساعدی	مساعد
کمی	کم
خوبی	خوب
بهتر	به
مناسب‌تر	مناسب
سه‌گانهٔ	سه‌گانه
عاشقانه‌ای	عاشقانه
کمتر	کم
خوش‌الحانی	خوش‌الحان
بی‌سابقهٔ	بی‌سابقه
معینی	معین
بیشتر	بیش
جدیدی	جدید
خوبی	خوب
بهتر	به
زیباتری	زیبا
بهتر	به
پایین‌تری	پایین
پایین‌ترین	پایین
اندکی	اندک
کمی	کم
کوتاهی	کوتاه
امن‌تری	امن
زیادی	زیاد
بیشتری	بیش
نرمی	نرم
زیادی	زیاد
بزرگی	بزرگ
جدیدی	جدید
خوبی	خوب
مشارکتی	مشارکت
عقب‌تر	عقب
بازتری	باز
جالب‌تر	جالب
کوچک‌تر	کوچک
بزرگ‌تر	بزرگ
بیشتر	بیش
اولیهٔ	اولیه
جانبی	جانب
معتبرترین	معتبر
مقعری	مقعر
تدابیری	تدابیر
بیشتر	بیش
بیشتر	بیش
پیروزمندانه‌ای	پیروزمندانه
بلندی	بلند
خاصی	خاص
بیشتر	بیش
کاملی	کامل
خاصی	خاص
ترمیمی	ترمیم
خوبی	خوب
بیشتری	بیش
گرم‌تر	گرم
بهتر	به
براقی	براق
سفیدی	سفید
پولداری	پولدار
خودسرانه‌ای	خودسرانه
عالی‌ترین	عالی
اولیه‌ای	اولیه
راستینی	راستین
تحقیرشده‌ای	تحقیرشده
دینی	دین
ریاکاری	ریاکار
بالاترین	بالا
اصیلی	اصیل
موهومی	موهوم
خشن‌تر	خشن
ساده‌تر	ساده
ساده‌تر	ساده
بیشتر	بیش
روشن‌تر	روشن
روشن‌تر	روشن
بدترین	بد
نزدیک‌تر	نزدیک
ارزنده‌ای	ارزنده
بهترین	به
پایدارترین	پایدار
بدترین	بد
فراوانی	فراوان
خطرناکی	خطرناک
بهتر	به
مفیدی	مفید
شایسته‌تر	شایسته
دارای	دارا
رنگارنگی	رنگارنگ
زشت‌تر	زشت
بهتر	به
دیگری	دیگر
خاصی	خاص
زیادی	زیاد
دیگری	دیگر
بیشترین	بیش
طبیعی‌ای	طبیعی
بی‌مورد	مورد
مهم‌تر	مهم
پیش‌تر	پیش
پارهٔ	پاره
گشادتر	گشاد
بیشتر	بیش
مطمئن‌ترین	مطمئن
مختلفی	مختلف
ویژهٔ	ویژه
والای	والا
خاصی	خاص
بهترین	به
زیادی	زیاد
بزرگ‌ترین	بزرگ
بی‌حاشیه‌ای	بی‌حاشیه
